product_name,product_image,category
Ορθογώνιο Τραπεζάκι Σαλονιού Naya Ξύλινο Φυσικό / Ανθρακί 1τμχ Μ93xΠ46xΥ43εκ.,https://c.scdn.gr/images/sku_main_images/033748/33748274/fixedratio_20220210105631_orthogonio_trapezaki_saloniou_naya_xylino_fysiko_anthraki_123_000159_m93xp46xy43ek.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Ξύλινο Sonoma 1τμχ Μ80xΠ41.5xΥ46εκ.,https://c.scdn.gr/images/sku_main_images/015475/15475881/fixedratio_20181213193755_hm2286_02_80by41_5x46cm.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Toledo Γυάλινο Διάφανο 1τμχ Μ120xΠ60xΥ48εκ.,https://d.scdn.gr/images/sku_main_images/021960/21960247/fixedratio_20211102142352_trapezaki_saloniou_toledo_orthogonio_em520_120x60x48cm.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Vigor από Μασίφ Ξύλο Φυσικό 1τμχ Μ100xΠ45xΥ45εκ.,https://c.scdn.gr/images/sku_main_images/012469/12469895/fixedratio_20211013105537_trapezaki_saloniou_vigor_orthogonio_ea7008_100x45x30cm.jpeg,small_table
Στρογγυλό Βοηθητικό Τραπεζάκι Γυάλινο Χρυσό 1τμχ Μ50xΠ50xΥ55εκ.,https://c.scdn.gr/images/sku_main_images/024363/24363957/fixedratio_20220802142444_strogylo_voithitiko_trapezaki_gyalino_lgt20g_m50xp50xy55ek.jpeg,small_table
Στρογγυλό Σετ Ζιγκόν S/3 Ξύλινο Φυσικό 3τμχ Μ48xΠ48xΥ44εκ.,https://b.scdn.gr/images/sku_main_images/012556/12556599/fixedratio_20181213192022_s_3_hm0199_02_48x48x44cm.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Olympus Toro Ξύλινο Δρυς 1τμχ Μ100xΠ51xΥ42.5εκ.,https://c.scdn.gr/images/sku_main_images/013529/13529205/fixedratio_20220111104404_trapezaki_saloniou_olympus_toro_orthogonio_123_000012_100x51x42_5cm.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Oslo Ξύλινο Sonoma 1τμχ Μ110xΠ59xΥ41.5εκ.,https://b.scdn.gr/images/sku_main_images/032464/32464977/fixedratio_20220210090423_orthogonio_trapezaki_saloniou_oslo_xylino_sonoma_086_000005_m110xp59xy41_5ek.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Lovell Ξύλινο Καρυδί 1τμχ Μ90xΠ60xΥ38.6εκ.,https://a.scdn.gr/images/sku_main_images/019777/19777393/fixedratio_20190816142913_lovell_60by60_14410010.jpeg,small_table
Ορθογώνιο Τραπεζάκι Σαλονιού Hios Ξύλινο Καφέ 1τμχ Μ100xΠ65xΥ47εκ.,https://a.scdn.gr/images/sku_main_images/022401/22401462/fixedratio_20230515161203_orthogonio_trapezaki_saloniou_hios_14410042_m100xp65xy47ek.jpeg,small_table
